# x y xlow xhigh ylow yhigh

#   12164100.      3.7	      9136310.        9136300.  	    0.  	   0.1
13142400000.      3.1	    2.820300E9      2.820400E9  	    3.  	   0.1
 8370440000.      2.5	    3.412910E9      3.412860E9  	   0.2  	    0.
24225300000.     12.1	   1.427505E10     1.427510E10  	    0.  	   0.3
26857700000.      8.3	    7.492700E9      7.492600E9  	    0.  	   0.8
 4827880000.      4.9	    1.657680E9      1.657670E9  	   0.2  	   0.1
 6643000000.      6.6	    1.710680E9      1.710680E9  	   1.3  	   0.3
  387112000.      0.4	     41537000.       41536000.  	    0.  	    0.
  341209000.      0.4	     43934000.       43933000.  	    0.  	    0.
 1181860000.      3.9	    634060032.      634049984.  	   0.3  	   0.2
22540100000.      2.6	    5.814500E9      5.814500E9  	    0.  	    0.
 5813430000.      2.3	    2.370330E9      2.370330E9  	   0.1  	   0.5
 2175430000.      1.5	    653580032.      653569984.  	    0.  	   0.1
13576500000.      2.9	    2.622100E9      2.622100E9  	    0.  	   0.1
4.4397400E11      2.4	   4.062350E11     4.062360E11  	   0.1  	   0.4
40623000000.     15.6	   3.399847E10     3.399850E10  	    0.  	    0.
42756700000.     15.9	   2.293860E10     2.293860E10  	    0.  	   0.5
 8479690000.       2.	    1.273790E9      1.273800E9  	    0.  	   0.1
13305900000.      4.2	    4.537330E9      4.537300E9  	    0.  	   0.2
11286300000.     13.6	    1.937590E9      1.937600E9  	  13.5  	    0.
 5679110000.      6.8	    2.803050E9      2.803050E9  	    0.  	   0.3
13307100000.      3.6	    5.492970E9      5.493000E9  	    0.  	   0.2
38860500000.      5.9	    7.197900E9      7.198000E9  	    0.  	   0.2
4.0089400E11      3.9	   3.244729E11     3.244730E11  	   0.2  	   0.2
   95737100.      1.8	     53416600.       53416900.  	    0.  	   0.1
   47769200.      1.4	      7175800.        7175800.  	   0.1  	    0.
#   16439200.      2.5	     11288960.       11288900.  	   0.1  	    0.
  329228000.      0.3	    141303008.      141302000.  	    0.  	    0.
  157527000.       1.	     37185000.       37186000.  	    0.  	    0.
 1457730000.     11.2	    785492032.      785500032.  	    0.  	   0.3
  112378000.      1.1	     65113200.       65113000.  	    0.  	   0.1
  701908000.      3.2	    617571008.      617571968.  	   0.1  	   0.1
